"id","tipo","rol","empleado","razon","monto","calculo_id","created_at","updated_at"
"59185","CARGO","EJECUTIVO","4889","Charge Back","1000.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59186","CARGO","EJECUTIVO","5347","Charge Back","400.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59187","CARGO","EJECUTIVO","4797","Charge Back","600.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59188","CARGO","EJECUTIVO","4761","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59189","CARGO","EJECUTIVO","4973","Charge Back","800.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59190","CARGO","EJECUTIVO","5923","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59191","CARGO","EJECUTIVO","5824","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59192","CARGO","EJECUTIVO","5910","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59193","CARGO","EJECUTIVO","5767","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59194","CARGO","EJECUTIVO","4112","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59195","CARGO","EJECUTIVO","5919","Charge Back","200.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59196","CARGO","EJECUTIVO","5969","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59197","CARGO","EJECUTIVO","5814","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59198","CARGO","EJECUTIVO","6035","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59199","CARGO","EJECUTIVO","5783","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59200","CARGO","EJECUTIVO","5825","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59201","CARGO","EJECUTIVO","6059","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59202","CARGO","EJECUTIVO","5064","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59203","CARGO","EJECUTIVO","6073","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59204","CARGO","EJECUTIVO","5966","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59205","CARGO","EJECUTIVO","5961","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59206","CARGO","EJECUTIVO","5963","Charge Back","0.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59207","CARGO","EJECUTIVO","5078","Charge Back","1000.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59208","CARGO","EJECUTIVO","4765","Charge Back","553.71","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
"59209","CARGO","EJECUTIVO","1940","Charge Back","600.00","109","2023-12-04 19:11:03","2023-12-04 19:11:03"
